Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,Bristol City,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Borough of Halton,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
-33,-27,-22,-22,-34,-29,-26,-26,-21,-25,-26,-31,-20,-27,-25,-22,-19,-28,-27,-20,-24,-27,-29,-22,-25,-20,-29,-28,-29,-27,-22,-22,-28,-22,-22,-19,-20,-30,-28,-27,-21,-19,-28,-26,-20,-20,-31,-23,-26,-24,-31,-25,-21,-27,-25,-19,-24,-17,-20,-22,-22,-28,-27,-23,-32,-20,-22,-26,-25,-24,-31,-32,-25,-21,-24,-24,-24,-22
-37,-27,-23,-25,-33,-32,-27,-28,-24,-28,-27,-35,-22,-29,-27,-27,-23,-32,-30,-24,-25,-29,-31,-30,-27,-24,-32,-30,-33,-28,-25,-24,-29,-24,-27,-22,-21,-33,-29,-30,-22,-22,-32,-30,-23,-19,-33,-26,-29,-27,-33,-24,-24,-29,-29,-21,-27,-16,-24,-24,-26,-30,-28,-25,-30,-20,-24,-27,-30,-26,-35,-32,-28,-24,-25,-26,-25,-24
-35,-25,-23,-21,-34,-31,-28,-29,-25,-28,-28,-35,-26,-29,-29,-24,-22,-31,-29,-22,-26,-29,-30,-27,-28,-23,-31,-31,-32,-29,-23,-24,-28,-25,-24,-22,-21,-32,-30,-31,-23,-23,-31,-29,-22,-20,-29,-25,-30,-25,-33,-28,-24,-28,-29,-26,-26,-18,-22,-26,-22,-30,-30,-25,-31,-22,-23,-27,-30,-27,-34,-32,-27,-24,-24,-26,-24,-23
-45,-28,-26,-23,-38,-37,-32,-29,-27,-30,-32,-40,-28,-31,-30,-28,-26,-37,-35,-28,-29,-31,-37,-29,-35,-28,-33,-32,-36,-31,-27,-26,-29,-28,-28,-24,-23,-30,-32,-32,-27,-25,-38,-32,-26,-21,-30,-28,-34,-28,-40,-37,-27,-33,-35,-29,-32,-22,-26,-27,-25,-32,-34,-33,-33,-22,-27,-32,-36,-32,-35,-34,-29,-26,-28,-26,-28,-24
-48,-39,-35,-33,-38,-44,-38,-40,-33,-39,-40,-42,-30,-37,-37,-36,-36,-39,-37,-33,-36,-38,-42,-37,-36,-31,-43,-39,-37,-38,-34,-34,-40,-38,-35,-26,-32,-34,-43,-43,-33,-31,-42,-38,-37,-28,-43,-37,-42,-36,-40,-37,-29,-42,-39,-41,-32,-33,-39,-34,-37,-40,-37,-44,-43,-37,-37,-35,-39,-41,-45,-38,-39,-34,-38,-33,-35,-34
-44,-40,-33,-33,-42,-41,-40,-42,-36,-40,-40,-47,-35,-42,-44,-40,-38,-44,-41,-38,-38,-42,-41,-35,-41,-35,-42,-43,-39,-43,-37,-37,-40,-40,-37,-30,-35,-37,-43,-44,-38,-34,-44,-38,-39,-33,-44,-38,-44,-40,-43,-41,-33,-42,-44,-42,-35,-32,-40,-42,-36,-42,-40,-45,-45,-42,-40,-39,-41,-42,-46,-42,-39,-36,-39,-41,-36,-38
-41,-30,-27,-25,-38,-36,-31,-32,-27,-33,-32,-35,-26,-32,-33,-29,-26,-31,-31,-26,-29,-30,-33,-26,-30,-25,-33,-33,-30,-32,-28,-28,-33,-30,-27,-20,-27,-32,-34,-33,-25,-26,-34,-32,-28,-24,-36,-29,-34,-29,-33,-30,-26,-31,-31,-33,-28,-25,-28,-30,-28,-33,-33,-33,-34,-29,-29,-29,-32,-31,-38,-34,-31,-29,-29,-29,-29,-29
-38,-28,-25,-21,-35,-33,-30,-29,-23,-28,-28,-34,-24,-28,-30,-26,-22,-30,-28,-23,-27,-28,-31,-21,-28,-24,-33,-30,-31,-30,-26,-24,-31,-26,-25,-17,-25,-28,-31,-31,-22,-23,-30,-27,-25,-22,-35,-25,-32,-27,-34,-30,-21,-28,-28,-30,-26,-22,-25,-27,-24,-30,-31,-31,-33,-27,-27,-27,-29,-27,-37,-33,-29,-26,-27,-27,-26,-26
-39,-26,-23,-24,-35,-34,-29,-29,-22,-29,-28,-35,-23,-30,-30,-26,-24,-30,-29,-24,-26,-28,-30,-29,-28,-24,-32,-31,-31,-30,-28,-25,-30,-25,-25,-19,-26,-30,-31,-31,-25,-24,-30,-29,-25,-21,-35,-26,-33,-28,-33,-28,-22,-29,-29,-30,-26,-21,-27,-26,-25,-30,-31,-32,-31,-28,-26,-27,-30,-28,-39,-32,-30,-25,-27,-28,-26,-26
-33,-24,-22,-22,-32,-30,-27,-29,-21,-28,-28,-32,-23,-29,-32,-23,-23,-28,-26,-23,-25,-27,-29,-21,-26,-24,-30,-29,-29,-28,-25,-24,-27,-26,-23,-14,-24,-28,-28,-30,-23,-23,-28,-27,-23,-20,-32,-25,-30,-26,-30,-28,-24,-26,-27,-31,-24,-19,-25,-27,-22,-27,-30,-29,-31,-28,-24,-24,-29,-26,-36,-30,-28,-26,-24,-28,-25,-24
-36,-22,-24,-20,-33,-31,-28,-28,-23,-29,-28,-34,-23,-28,-30,-23,-23,-30,-29,-24,-26,-27,-31,-22,-27,-23,-30,-29,-30,-29,-25,-23,-27,-24,-24,-17,-21,-27,-30,-30,-25,-23,-31,-27,-23,-20,-31,-24,-30,-27,-34,-30,-21,-28,-27,-29,-23,-21,-24,-26,-20,-27,-30,-30,-31,-26,-23,-26,-29,-27,-35,-30,-27,-23,-25,-25,-24,-24
-40,-32,-29,-27,-36,-37,-32,-36,-28,-31,-31,-40,-27,-34,-34,-29,-28,-35,-34,-30,-31,-34,-33,-30,-32,-30,-35,-34,-35,-35,-31,-27,-33,-32,-29,-19,-27,-30,-36,-36,-28,-25,-37,-33,-30,-23,-36,-31,-37,-30,-37,-34,-26,-35,-34,-32,-28,-29,-31,-31,-27,-34,-34,-37,-40,-31,-29,-32,-33,-33,-42,-35,-32,-29,-31,-31,-29,-28
-42,-37,-31,-33,-38,-38,-35,-38,-33,-39,-39,-43,-35,-42,-40,-37,-37,-41,-38,-35,-35,-38,-38,-31,-37,-34,-41,-38,-37,-39,-35,-36,-35,-37,-33,-23,-30,-34,-40,-39,-38,-32,-41,-38,-33,-30,-42,-37,-40,-33,-40,-38,-31,-39,-38,-35,-31,-30,-37,-41,-35,-38,-37,-42,-41,-38,-35,-36,-37,-39,-47,-38,-39,-35,-36,-40,-34,-36
-39,-27,-25,-20,-36,-35,-31,-32,-26,-31,-30,-34,-24,-29,-31,-27,-26,-31,-29,-24,-26,-29,-31,-27,-29,-23,-33,-32,-29,-30,-26,-25,-30,-28,-26,-20,-25,-30,-33,-32,-23,-26,-32,-31,-26,-22,-35,-28,-33,-28,-32,-29,-22,-30,-30,-31,-28,-23,-28,-29,-26,-31,-32,-30,-32,-29,-28,-27,-31,-29,-38,-32,-29,-27,-28,-27,-26,-26
-42,-34,-27,-26,-43,-38,-36,-37,-30,-33,-32,-35,-24,-29,-30,-28,-27,-33,-35,-24,-33,-35,-36,-23,-34,-25,-35,-37,-37,-35,-26,-28,-39,-33,-28,-25,-33,-31,-38,-36,-24,-25,-34,-29,-32,-20,-38,-29,-37,-35,-34,-38,-22,-34,-32,-34,-33,-30,-30,-26,-30,-34,-38,-38,-36,-32,-33,-33,-36,-32,-39,-42,-32,-29,-34,-27,-29,-29
-40,-26,-29,-25,-38,-36,-31,-31,-24,-30,-30,-36,-25,-31,-31,-27,-25,-32,-31,-26,-29,-29,-31,-32,-30,-24,-31,-32,-32,-30,-29,-26,-31,-27,-26,-18,-26,-29,-32,-31,-26,-26,-33,-32,-25,-23,-36,-27,-33,-28,-34,-32,-24,-30,-29,-30,-29,-21,-27,-29,-26,-30,-33,-32,-32,-30,-28,-30,-31,-28,-41,-33,-32,-28,-28,-29,-29,-27
-36,-27,-26,-19,-35,-33,-31,-32,-26,-27,-28,-33,-23,-26,-22,-24,-23,-31,-29,-20,-25,-28,-32,-23,-29,-24,-28,-33,-29,-29,-21,-25,-30,-25,-24,-23,-24,-27,-32,-29,-21,-21,-30,-27,-27,-17,-33,-24,-35,-29,-32,-31,-18,-26,-27,-33,-27,-21,-26,-24,-22,-27,-32,-34,-32,-28,-26,-28,-30,-29,-34,-35,-29,-25,-27,-25,-25,-25
-37,-24,-26,-21,-32,-32,-28,-28,-22,-29,-30,-32,-26,-28,-31,-24,-24,-28,-27,-24,-27,-28,-32,-25,-27,-25,-30,-29,-26,-30,-26,-24,-28,-25,-25,-20,-23,-29,-29,-29,-22,-24,-31,-29,-25,-20,-31,-25,-30,-27,-31,-27,-23,-27,-28,-31,-22,-20,-26,-27,-25,-29,-29,-34,-31,-25,-24,-27,-29,-28,-36,-30,-28,-24,-26,-26,-26,-23
-39,-30,-29,-27,-34,-35,-31,-33,-26,-31,-31,-37,-26,-33,-32,-28,-29,-35,-31,-27,-29,-32,-33,-30,-31,-27,-34,-32,-31,-32,-29,-27,-30,-29,-28,-18,-26,-31,-34,-34,-27,-27,-36,-32,-29,-22,-35,-30,-35,-27,-34,-31,-22,-34,-33,-33,-25,-27,-30,-29,-27,-33,-32,-36,-37,-32,-27,-30,-32,-32,-41,-31,-31,-27,-29,-29,-28,-27
-45,-38,-28,-29,-42,-42,-37,-40,-34,-34,-38,-43,-34,-37,-37,-35,-35,-41,-39,-32,-36,-39,-40,-32,-38,-33,-39,-40,-38,-40,-33,-33,-36,-37,-33,-30,-32,-35,-40,-39,-35,-29,-42,-35,-35,-29,-42,-34,-42,-35,-42,-40,-32,-38,-41,-39,-34,-30,-35,-40,-33,-38,-38,-46,-40,-39,-36,-37,-40,-38,-44,-40,-37,-34,-37,-39,-33,-34
-36,-26,-26,-20,-34,-33,-28,-30,-21,-29,-28,-33,-24,-27,-27,-24,-24,-30,-27,-24,-24,-26,-30,-25,-27,-22,-31,-29,-28,-27,-26,-23,-29,-26,-23,-17,-22,-30,-30,-30,-22,-24,-30,-30,-24,-21,-34,-26,-30,-27,-30,-28,-22,-27,-29,-28,-24,-20,-24,-27,-24,-29,-30,-31,-28,-26,-24,-26,-29,-27,-37,-29,-27,-26,-25,-27,-27,-25
-34,-24,-21,-18,-34,-30,-26,-27,-19,-26,-24,-36,-23,-24,-25,-20,-20,-31,-28,-20,-25,-25,-28,-19,-25,-22,-28,-27,-32,-27,-21,-21,-25,-22,-21,-16,-23,-28,-28,-27,-18,-22,-29,-24,-22,-18,-33,-23,-29,-24,-35,-29,-19,-25,-28,-26,-24,-20,-22,-26,-21,-26,-28,-30,-27,-24,-22,-26,-28,-24,-35,-29,-26,-24,-24,-25,-24,-21
-33,-19,-19,-15,-30,-28,-23,-24,-16,-22,-22,-30,-17,-22,-19,-18,-16,-25,-23,-15,-20,-22,-26,-23,-22,-17,-24,-25,-25,-23,-20,-18,-24,-17,-18,-15,-20,-25,-24,-24,-16,-18,-24,-22,-18,-13,-30,-18,-26,-21,-27,-23,-18,-22,-23,-24,-17,-13,-19,-21,-19,-23,-26,-26,-24,-22,-18,-21,-24,-21,-32,-27,-23,-19,-21,-21,-20,-19
-23,-11,-13,-9,-23,-23,-16,-16,-8,-15,-13,-22,-10,-14,-14,-9,-8,-18,-14,-4,-12,-14,-18,-10,-13,-10,-17,-19,-15,-16,-9,-10,-15,-9,-6,-7,-9,-16,-14,-14,-5,-9,-18,-13,-9,-4,-22,-9,-18,-12,-20,-19,-6,-13,-14,-20,-10,-2,-9,-13,-10,-14,-18,-19,-18,-15,-9,-14,-14,-13,-26,-22,-16,-12,-14,-13,-13,-13
-38,-25,-27,-22,-32,-32,-29,-31,-22,-33,-36,-38,-31,-35,-34,-25,-28,-34,-30,-28,-29,-31,-34,-31,-29,-32,-35,-30,-31,-33,-28,-27,-26,-29,-27,-18,-26,-34,-31,-33,-28,-29,-32,-33,-26,-25,-33,-28,-32,-29,-39,-32,-27,-32,-31,-29,-21,-22,-29,-30,-24,-31,-30,-36,-33,-33,-25,-29,-33,-31,-37,-27,-31,-27,-27,-31,-27,-28
-37,-28,-27,-24,-33,-34,-31,-32,-25,-30,-31,-33,-27,-33,-33,-26,-27,-31,-30,-25,-27,-31,-32,-28,-30,-25,-32,-31,-27,-31,-28,-26,-28,-30,-26,-13,-23,-29,-35,-30,-25,-24,-33,-31,-27,-22,-34,-28,-32,-30,-35,-31,-24,-31,-30,-30,-24,-23,-30,-30,-27,-31,-31,-38,-34,-32,-28,-29,-30,-32,-42,-30,-30,-28,-29,-28,-27,-26
-42,-40,-26,-30,-43,-42,-40,-44,-37,-36,-38,-39,-35,-38,-40,-34,-36,-37,-37,-36,-36,-39,-41,-32,-38,-33,-39,-41,-35,-39,-34,-34,-36,-38,-36,-31,-33,-31,-46,-42,-34,-32,-40,-39,-38,-29,-44,-37,-42,-39,-40,-39,-33,-38,-37,-39,-33,-30,-37,-38,-33,-39,-39,-47,-41,-39,-37,-37,-38,-38,-46,-41,-38,-35,-37,-38,-35,-35
-36,-23,-21,-18,-33,-32,-27,-26,-20,-26,-26,-28,-22,-27,-25,-21,-22,-25,-24,-21,-24,-24,-28,-25,-24,-22,-28,-28,-23,-27,-26,-22,-23,-23,-22,-17,-22,-28,-27,-26,-19,-22,-27,-29,-21,-19,-34,-23,-29,-23,-30,-27,-21,-24,-25,-26,-21,-21,-22,-23,-21,-27,-28,-28,-27,-26,-22,-23,-26,-25,-33,-28,-26,-23,-24,-24,-24,-23
-31,-21,-20,-14,-30,-28,-25,-25,-18,-23,-22,-26,-18,-23,-23,-19,-18,-23,-21,-18,-21,-22,-24,-18,-22,-20,-26,-24,-22,-24,-20,-20,-23,-20,-19,-12,-16,-24,-25,-24,-18,-17,-20,-22,-18,-16,-31,-20,-25,-21,-28,-25,-16,-21,-20,-23,-19,-15,-20,-22,-19,-25,-25,-26,-24,-25,-20,-21,-23,-21,-31,-27,-25,-21,-21,-22,-22,-20
-33,-21,-20,-15,-31,-31,-24,-24,-18,-22,-22,-28,-19,-24,-23,-21,-17,-24,-21,-17,-22,-23,-27,-26,-22,-17,-26,-26,-22,-24,-21,-18,-22,-19,-19,-17,-22,-24,-26,-24,-15,-17,-23,-23,-20,-14,-31,-20,-27,-21,-31,-23,-15,-23,-22,-25,-20,-15,-19,-22,-21,-24,-25,-29,-26,-24,-20,-23,-24,-22,-31,-29,-24,-21,-23,-21,-22,-21
-29,-19,-18,-13,-29,-25,-22,-23,-16,-20,-19,-24,-17,-20,-20,-17,-15,-20,-19,-13,-19,-20,-23,-17,-19,-17,-22,-24,-19,-23,-19,-17,-19,-17,-15,-13,-16,-21,-22,-22,-14,-15,-20,-19,-15,-12,-27,-17,-25,-19,-23,-24,-14,-19,-20,-23,-18,-16,-16,-20,-16,-22,-24,-25,-23,-21,-15,-21,-21,-18,-28,-26,-22,-19,-18,-19,-19,-18
-32,-18,-21,-15,-29,-27,-23,-22,-16,-24,-24,-25,-19,-23,-23,-19,-18,-22,-20,-16,-19,-20,-25,-20,-21,-19,-25,-23,-19,-23,-20,-18,-20,-19,-17,-11,-15,-20,-26,-22,-17,-17,-23,-20,-18,-16,-25,-19,-25,-21,-26,-23,-19,-22,-21,-22,-17,-12,-20,-21,-17,-22,-24,-28,-24,-23,-18,-21,-24,-24,-30,-24,-23,-19,-21,-20,-20,-20
-33,-24,-24,-21,-31,-31,-26,-28,-22,-23,-25,-28,-19,-27,-27,-22,-21,-26,-24,-20,-23,-26,-26,-23,-25,-22,-26,-29,-20,-27,-25,-20,-25,-22,-21,-10,-18,-23,-32,-26,-20,-16,-28,-22,-24,-16,-30,-23,-29,-26,-29,-28,-20,-26,-24,-26,-19,-21,-25,-27,-21,-27,-27,-34,-30,-25,-22,-25,-24,-26,-37,-28,-25,-23,-24,-23,-23,-22
-35,-26,-15,-23,-33,-32,-27,-28,-24,-26,-29,-30,-26,-30,-33,-26,-24,-28,-25,-22,-22,-27,-29,-25,-27,-24,-30,-30,-23,-29,-26,-24,-26,-26,-21,-17,-19,-24,-33,-26,-22,-18,-28,-24,-23,-23,-34,-25,-31,-26,-30,-29,-22,-26,-27,-31,-21,-19,-26,-30,-25,-26,-28,-37,-32,-30,-23,-25,-26,-27,-38,-31,-30,-25,-28,-31,-25,-27
-32,-16,-23,-17,-29,-28,-19,-20,-15,-23,-22,-23,-19,-26,-23,-18,-16,-18,-17,-17,-17,-17,-22,-21,-19,-21,-22,-21,-16,-19,-22,-22,-16,-18,-15,-10,-13,-23,-21,-20,-13,-16,-22,-23,-16,-16,-28,-18,-22,-18,-22,-21,-18,-21,-18,-19,-16,-11,-18,-20,-20,-21,-22,-24,-19,-24,-17,-17,-20,-19,-29,-22,-23,-20,-19,-20,-20,-20
-30,-16,-19,-14,-27,-24,-17,-18,-11,-18,-18,-23,-15,-20,-17,-13,-12,-19,-15,-13,-15,-15,-20,-13,-17,-15,-19,-18,-19,-17,-16,-16,-15,-14,-13,-7,-10,-18,-19,-18,-14,-12,-19,-16,-12,-13,-24,-15,-20,-15,-23,-19,-11,-14,-18,-19,-14,-9,-14,-17,-16,-18,-19,-22,-19,-18,-12,-16,-18,-15,-26,-21,-19,-16,-16,-18,-17,-17
-25,-11,-13,-9,-23,-23,-17,-16,-7,-14,-14,-20,-12,-18,-18,-13,-9,-16,-12,-8,-12,-14,-17,-19,-15,-13,-21,-18,-16,-15,-14,-13,-14,-10,-10,-6,-9,-15,-17,-15,-9,-9,-16,-12,-10,-9,-22,-12,-20,-10,-22,-16,-9,-14,-16,-18,-15,-6,-11,-17,-14,-16,-17,-21,-16,-16,-11,-14,-18,-14,-25,-19,-18,-13,-15,-15,-13,-14
-24,-12,-13,-10,-22,-22,-16,-17,-8,-16,-14,-20,-14,-18,-16,-12,-11,-16,-12,-8,-11,-14,-18,-15,-13,-14,-18,-18,-13,-15,-13,-13,-12,-11,-9,-4,-9,-14,-16,-15,-8,-9,-17,-14,-9,-7,-21,-12,-19,-12,-21,-16,-11,-14,-15,-19,-14,-9,-12,-17,-12,-15,-18,-20,-14,-17,-9,-13,-15,-13,-23,-19,-18,-14,-13,-16,-14,-14
-29,-14,-15,-13,-25,-23,-18,-18,-10,-19,-20,-23,-17,-21,-19,-12,-14,-18,-16,-14,-17,-15,-22,-18,-17,-17,-21,-19,-18,-18,-16,-15,-15,-16,-14,-3,-8,-14,-21,-16,-15,-14,-21,-18,-14,-11,-21,-15,-20,-15,-22,-20,-14,-17,-17,-20,-13,-6,-15,-19,-14,-16,-19,-24,-18,-19,-13,-16,-18,-18,-26,-19,-19,-15,-16,-17,-16,-16
-30,-21,-18,-18,-28,-31,-24,-26,-17,-21,-22,-25,-20,-26,-24,-18,-18,-22,-20,-19,-20,-22,-25,-23,-23,-16,-25,-25,-18,-24,-23,-19,-20,-20,-19,-6,-14,-19,-29,-23,-18,-17,-27,-23,-21,-16,-26,-21,-27,-21,-26,-25,-19,-23,-23,-25,-22,-16,-22,-24,-18,-22,-24,-33,-26,-22,-19,-21,-21,-23,-35,-24,-23,-20,-21,-21,-19,-19
-26,-23,-22,-20,-26,-26,-25,-27,-19,-22,-25,-25,-23,-26,-27,-27,-22,-22,-18,-20,-17,-25,-23,-20,-22,-20,-25,-27,-20,-24,-20,-24,-26,-23,-20,-22,-18,-20,-30,-24,-20,-18,-24,-21,-21,-14,-30,-23,-26,-22,-26,-24,-20,-22,-21,-25,-16,-17,-24,-27,-24,-24,-23,-33,-29,-25,-20,-20,-20,-24,-34,-28,-29,-22,-27,-26,-26,-24
-29,-20,-26,-21,-27,-30,-22,-23,-15,-24,-24,-25,-22,-27,-27,-22,-19,-23,-15,-18,-18,-22,-25,-29,-21,-22,-30,-26,-21,-23,-23,-21,-22,-20,-19,-17,-20,-26,-24,-24,-18,-20,-23,-17,-19,-14,-31,-22,-25,-22,-29,-24,-19,-23,-22,-25,-21,-13,-20,-28,-24,-25,-24,-28,-25,-24,-17,-18,-21,-21,-30,-23,-27,-24,-24,-25,-23,-25
-22,-11,-15,-8,-21,-18,-13,-13,-5,-13,-12,-12,-11,-12,-12,-9,-5,-11,-7,-7,-9,-11,-14,-6,-10,-10,-15,-15,-12,-12,-13,-11,-12,-8,-6,-5,-7,-15,-15,-10,-8,-6,-10,-10,-7,-6,-20,-8,-15,-9,-15,-14,-6,-13,-10,-13,-12,-3,-8,-13,-11,-12,-14,-18,-15,-15,-7,-9,-11,-10,-21,-19,-17,-11,-13,-13,-14,-12
-23,-11,-16,-9,-22,-20,-15,-17,-8,-13,-11,-16,-11,-14,-14,-11,-6,-13,-10,-10,-11,-12,-16,-16,-13,-10,-17,-17,-13,-14,-13,-10,-14,-9,-9,-8,-8,-16,-16,-16,-7,-7,-16,-12,-10,-7,-21,-10,-17,-13,-20,-15,-10,-14,-13,-15,-14,-5,-9,-14,-13,-16,-16,-20,-17,-14,-9,-12,-15,-12,-24,-20,-16,-12,-14,-14,-13,-12
-21,-10,-13,-3,-19,-18,-13,-15,-5,-11,-10,-14,-8,-10,-13,-7,-6,-11,-7,-5,-10,-11,-13,-12,-10,-9,-16,-16,-10,-13,-9,-7,-10,-8,-7,-4,-8,-10,-13,-11,-8,-5,-12,-9,-8,0,-19,-8,-16,-10,-15,-14,-8,-9,-11,-16,-11,-6,-6,-12,-10,-11,-15,-16,-15,-13,-6,-10,-13,-10,-20,-18,-14,-10,-10,-12,-11,-9
-21,-8,-10,-2,-19,-16,-14,-15,-5,-12,-11,-16,-9,-11,-11,-8,-7,-12,-9,-6,-10,-12,-15,-13,-11,-10,-17,-14,-11,-14,-11,-7,-10,-9,-8,-2,-8,-9,-15,-12,-8,-8,-15,-8,-10,-2,-17,-9,-14,-12,-18,-14,-9,-10,-11,-13,-10,-5,-9,-13,-9,-13,-15,-20,-16,-12,-6,-11,-13,-12,-20,-16,-13,-9,-11,-11,-10,-9
-24,-16,-16,-7,-19,-22,-17,-23,-10,-12,-15,-19,-11,-14,-17,-13,-10,-17,-11,-11,-12,-16,-17,-17,-15,-9,-18,-20,-12,-17,-15,-9,-16,-15,-12,-2,-10,-13,-21,-16,-12,-10,-17,-12,-14,-5,-22,-14,-19,-17,-20,-18,-9,-17,-16,-19,-13,-11,-15,-19,-13,-17,-19,-26,-22,-16,-11,-14,-15,-17,-26,-20,-17,-14,-17,-16,-13,-13
-24,-17,-7,-5,-23,-23,-21,-23,-14,-16,-18,-19,-15,-14,-20,-18,-14,-19,-12,-10,-12,-20,-20,-16,-18,-16,-20,-23,-13,-20,-16,-14,-19,-17,-13,-13,-13,-14,-24,-17,-12,-9,-20,-9,-16,-5,-24,-17,-22,-16,-23,-20,-12,-17,-18,-24,-15,-12,-17,-22,-15,-19,-20,-31,-24,-19,-16,-15,-18,-19,-28,-25,-21,-17,-20,-21,-16,-16
-22,-11,-10,-4,-21,-20,-14,-17,-8,-14,-11,-13,-10,-11,-13,-11,-9,-12,-8,-7,-11,-12,-15,-13,-12,-10,-17,-16,-9,-13,-13,-8,-12,-11,-8,-3,-7,-16,-13,-12,-5,-7,-14,-10,-9,-4,-21,-10,-16,-9,-15,-14,-11,-11,-11,-13,-12,-5,-9,-15,-12,-14,-15,-17,-12,-13,-8,-8,-13,-11,-21,-16,-15,-12,-12,-14,-12,-11
-22,-14,-11,-6,-21,-18,-15,-17,-8,-14,-12,-16,-12,-13,-15,-10,-7,-14,-7,-7,-11,-13,-16,-7,-13,-12,-18,-16,-12,-14,-11,-9,-14,-11,-8,-5,-9,-16,-17,-13,-9,-9,-13,-8,-10,-9,-20,-10,-17,-13,-18,-16,-7,-14,-13,-15,-14,-5,-10,-15,-9,-14,-15,-19,-16,-13,-8,-11,-14,-13,-21,-18,-16,-12,-14,-16,-13,-11
-30,-15,-21,-12,-26,-28,-19,-22,-13,-19,-20,-22,-17,-19,-17,-18,-16,-19,-17,-17,-14,-14,-22,-22,-19,-15,-24,-21,-17,-17,-18,-15,-23,-18,-16,-12,-12,-22,-20,-18,-11,-12,-24,-21,-16,-12,-27,-19,-23,-15,-26,-20,-18,-20,-19,-20,-20,-10,-17,-17,-21,-16,-20,-25,-14,-20,-17,-16,-19,-20,-28,-23,-22,-19,-22,-18,-19,-19
-22,-14,-18,-8,-25,-21,-18,-22,-12,-16,-14,-19,-13,-16,-18,-11,-12,-14,-12,-9,-14,-14,-17,-15,-14,-11,-18,-19,-12,-17,-14,-13,-15,-12,-12,-9,-13,-17,-18,-16,-11,-9,-17,-15,-12,-8,-22,-12,-19,-15,-18,-18,-10,-14,-13,-17,-17,-12,-13,-15,-14,-15,-19,-21,-13,-18,-11,-13,-15,-15,-25,-21,-18,-15,-15,-16,-16,-14
-24,-14,-19,-9,-23,-19,-18,-21,-14,-18,-17,-20,-15,-18,-16,-13,-16,-17,-14,-14,-13,-16,-19,-15,-15,-12,-20,-19,-14,-18,-15,-13,-17,-15,-14,-11,-13,-18,-20,-20,-14,-13,-20,-17,-14,-10,-22,-16,-18,-19,-20,-18,-16,-16,-14,-14,-15,-13,-16,-17,-14,-19,-18,-21,-18,-16,-12,-14,-18,-17,-26,-20,-19,-15,-16,-15,-17,-16
-29,-21,-23,-14,-29,-27,-25,-29,-21,-19,-19,-24,-17,-19,-19,-19,-18,-22,-20,-19,-17,-23,-23,-23,-21,-15,-24,-26,-15,-22,-20,-16,-24,-21,-19,-11,-16,-22,-29,-25,-19,-13,-24,-20,-22,-13,-27,-20,-26,-25,-25,-22,-20,-20,-22,-20,-21,-18,-22,-21,-22,-24,-24,-29,-24,-23,-20,-20,-21,-22,-33,-27,-22,-18,-22,-20,-19,-19
-26,-24,-11,-14,-28,-23,-24,-29,-21,-22,-21,-24,-21,-20,-22,-21,-21,-21,-19,-18,-16,-24,-22,-19,-22,-21,-25,-26,-15,-25,-20,-18,-24,-23,-22,-19,-19,-28,-28,-27,-21,-14,-21,-21,-21,-16,-29,-23,-25,-28,-25,-22,-23,-20,-20,-22,-18,-18,-25,-27,-23,-24,-22,-32,-25,-25,-20,-20,-20,-23,-33,-27,-26,-23,-26,-26,-23,-22
-25,-15,-17,-10,-24,-22,-18,-20,-13,-18,-15,-19,-14,-17,-15,-13,-15,-16,-13,-12,-13,-16,-19,-17,-15,-9,-18,-19,-12,-17,-15,-14,-15,-15,-14,-7,-12,-20,-18,-18,-9,-13,-17,-16,-13,-10,-23,-16,-19,-14,-19,-20,-14,-13,-15,-14,-17,-11,-13,-18,-16,-18,-18,-20,-12,-16,-12,-12,-17,-15,-24,-19,-19,-16,-16,-16,-16,-16
-23,-17,-14,-9,-24,-19,-18,-19,-11,-17,-13,-19,-12,-14,-15,-13,-12,-14,-13,-10,-12,-15,-18,-11,-16,-12,-18,-17,-15,-16,-13,-13,-17,-12,-11,-8,-9,-18,-18,-16,-11,-11,-14,-13,-13,-12,-24,-14,-18,-15,-20,-18,-11,-14,-14,-14,-17,-9,-13,-16,-14,-16,-18,-21,-16,-17,-11,-14,-17,-15,-24,-20,-18,-15,-17,-17,-16,-15
