country_region,sub_region,date,days,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,,,
United Kingdom,Bath and North East Somerset,15/02/2020,0,-13,-10,-48,-10,1,3,,,
United Kingdom,Bath and North East Somerset,43877,1,-2,-3,-26,2,-3,,,,
United Kingdom,Bath and North East Somerset,43878,2,22,2,32,7,-9,1,,,sub_region
United Kingdom,Bath and North East Somerset,43879,3,26,1,38,12,-9,1,,,Bath and North East Somerset
United Kingdom,Bath and North East Somerset,43880,4,22,0,32,6,-11,2,,,Bedford
United Kingdom,Bath and North East Somerset,43881,5,16,2,17,4,-10,2,,,Blackburn with Darwen
United Kingdom,Bath and North East Somerset,43882,6,15,-1,37,8,-14,2,,,Blackpool
United Kingdom,Bath and North East Somerset,43883,7,11,-1,-4,16,3,-1,,,Borough of Halton
United Kingdom,Bath and North East Somerset,43884,8,6,1,-2,15,2,,,,Bracknell Forest
United Kingdom,Bath and North East Somerset,43885,9,-4,0,-14,2,3,1,,,Brighton and Hove
United Kingdom,Bath and North East Somerset,43886,10,1,2,-1,10,7,0,,,Bristol City
United Kingdom,Bath and North East Somerset,43887,11,7,0,14,5,4,0,,,Buckinghamshire
United Kingdom,Bath and North East Somerset,43888,12,2,3,10,6,6,0,,,Cambridgeshire
United Kingdom,Bath and North East Somerset,43889,13,-3,0,-23,11,4,1,,,Central Bedfordshire
United Kingdom,Bath and North East Somerset,43890,14,2,3,-31,7,5,0,,,Cheshire East
United Kingdom,Bath and North East Somerset,43891,15,19,6,30,31,5,-1,,,Cheshire West and Chester
United Kingdom,Bath and North East Somerset,43892,16,6,3,12,6,5,0,,,Cornwall
United Kingdom,Bath and North East Somerset,43893,17,12,3,14,8,6,-1,,,County Durham
United Kingdom,Bath and North East Somerset,43894,18,0,0,-11,1,4,1,,,Cumbria
United Kingdom,Bath and North East Somerset,43895,19,-2,7,-8,3,5,1,,,Darlington
United Kingdom,Bath and North East Somerset,43896,20,3,5,28,8,6,0,,,Derby
United Kingdom,Bath and North East Somerset,43897,21,2,4,4,11,8,-1,,,Derbyshire
United Kingdom,Bath and North East Somerset,43898,22,4,3,8,16,4,-1,,,Devon
United Kingdom,Bath and North East Somerset,43899,23,1,5,-1,-2,2,1,,,Dorset
United Kingdom,Bath and North East Somerset,43900,24,-3,2,-1,2,3,1,,,East Riding of Yorkshire
United Kingdom,Bath and North East Somerset,43901,25,2,6,20,0,3,1,,,East Sussex
United Kingdom,Bath and North East Somerset,43902,26,-2,11,-3,0,3,1,,,Edinburgh
United Kingdom,Bath and North East Somerset,43903,27,-2,11,12,-3,0,3,,,Essex
United Kingdom,Bath and North East Somerset,43904,28,-2,13,-4,-4,4,2,,,Gloucestershire
United Kingdom,Bath and North East Somerset,43905,29,-11,8,18,18,-12,,,,Greater London
United Kingdom,Bath and North East Somerset,43906,30,-6,21,36,-8,-7,4,,,Greater Manchester
United Kingdom,Bath and North East Somerset,43907,31,-22,24,1,-24,-16,8,,,Hampshire
United Kingdom,Bath and North East Somerset,43908,32,-35,16,0,-40,-30,13,,,Hartlepool
United Kingdom,Bath and North East Somerset,43909,33,-40,21,-17,-45,-35,15,,,Herefordshire
United Kingdom,Bath and North East Somerset,43910,34,-47,5,-9,-47,-38,16,,,Hertfordshire
United Kingdom,Bath and North East Somerset,43911,35,-66,-1,-17,-49,-32,,,,Isle of Wight
United Kingdom,Bath and North East Somerset,43912,36,-69,-17,9,-45,-44,,,,Kent
United Kingdom,Bath and North East Somerset,43913,37,-60,-13,3,-56,-55,19,,,Kingston upon Hull
United Kingdom,Bath and North East Somerset,43914,38,-79,-33,-20,-70,-67,25,,,Lancashire
United Kingdom,Bath and North East Somerset,43915,39,-82,-31,-16,-73,-72,29,,,Leicester
United Kingdom,Bath and North East Somerset,43916,40,-83,-32,-18,-72,-74,29,,,Leicestershire
United Kingdom,Bath and North East Somerset,43917,41,-86,-35,-38,-74,-73,30,,,Lincolnshire
United Kingdom,Bath and North East Somerset,43918,42,-91,-44,-69,-75,-64,,,,Luton
United Kingdom,Bath and North East Somerset,43919,43,-91,-48,-54,-75,-66,,,,Medway
United Kingdom,Bath and North East Somerset,43920,44,-85,-40,-45,-76,-75,29,,,Merseyside
United Kingdom,Bath and North East Somerset,43921,45,-83,-37,-24,-73,-76,28,,,Middlesbrough
United Kingdom,Bath and North East Somerset,43922,46,-86,-39,-34,-77,-75,30,,,Milton Keynes
United Kingdom,Bath and North East Somerset,43923,47,-85,-37,-32,-77,-75,30,,,"Newry, Mourne and Down"
United Kingdom,Bath and North East Somerset,43924,48,-86,-37,-32,-75,-74,31,,,Norfolk
United Kingdom,Bath and North East Somerset,43925,49,-91,-44,-56,-75,-63,,,,North Ayrshire Council
United Kingdom,Bath and North East Somerset,43926,50,-90,-47,-37,-71,-64,,,,North East Lincolnshire
United Kingdom,Bath and North East Somerset,43927,51,-84,-41,-29,-76,-76,28,,,North Lincolnshire
United Kingdom,Bath and North East Somerset,43928,52,-84,-38,-14,-73,-76,28,,,North Somerset
United Kingdom,Bath and North East Somerset,43929,53,-85,-35,-23,-74,-76,29,,,North Yorkshire
United Kingdom,Bath and North East Somerset,43930,54,-83,-26,-13,-71,-76,29,,,Northamptonshire
United Kingdom,Bath and North East Somerset,43931,55,-89,-43,-22,-78,-86,,,,Northumberland
United Kingdom,Bath and North East Somerset,43932,56,-91,-38,-54,-74,-64,,,,Nottingham
United Kingdom,Bath and North East Somerset,43933,57,-92,-65,-40,-70,-68,,,,Nottinghamshire
United Kingdom,Bath and North East Somerset,43934,58,-88,-50,-22,-80,-87,,,,Oxfordshire
United Kingdom,Bath and North East Somerset,43935,59,-83,-33,-12,-73,-76,28,,,Pembrokeshire
United Kingdom,Bath and North East Somerset,43936,60,-85,-37,-16,-73,-75,29,,,Peterborough
United Kingdom,Bath and North East Somerset,43937,61,-85,-35,-17,-72,-74,30,,,Plymouth
United Kingdom,Bath and North East Somerset,43938,62,-89,-45,-61,-79,-75,32,,,Portsmouth
United Kingdom,Bath and North East Somerset,43939,63,-92,-48,-68,-75,-61,,,,Reading
United Kingdom,Bath and North East Somerset,43940,64,-88,-44,-22,-66,-59,,,,Redcar and Cleveland
United Kingdom,Bath and North East Somerset,43941,65,-84,-41,-13,-70,-73,28,,,Shropshire
United Kingdom,Bath and North East Somerset,43942,66,-83,-38,-2,-69,-73,28,,,Slough
United Kingdom,Bath and North East Somerset,43943,67,-84,-39,-9,-70,-74,29,,,Somerset
United Kingdom,Bath and North East Somerset,43944,68,-84,-33,2,-68,-74,29,,,South Gloucestershire
United Kingdom,Bath and North East Somerset,43945,69,-86,-36,-14,-70,-73,30,,,South Yorkshire
United Kingdom,Bath and North East Somerset,43946,70,-89,-40,-39,-67,-57,,,,Southampton
United Kingdom,Bath and North East Somerset,43947,71,-87,-42,-14,-63,-60,,,,Southend-on-Sea
United Kingdom,Bath and North East Somerset,43948,72,-83,-39,-14,-70,-73,28,,,Staffordshire
United Kingdom,Bath and North East Somerset,43949,73,-86,-42,-51,-76,-74,27,,,Stockton-on-Tees
United Kingdom,Bath and North East Somerset,43950,74,-85,-40,-29,-73,-73,30,,,Stoke-on-Trent
United Kingdom,Bath and North East Somerset,43951,75,-87,-36,-37,-72,-73,30,,,Suffolk
United Kingdom,Bath and North East Somerset,43952,76,-87,-37,-30,-71,-72,30,,,Surrey
United Kingdom,Bath and North East Somerset,43953,77,-90,-39,-37,-64,-57,,,,Swindon
United Kingdom,Bath and North East Somerset,43954,78,-91,-45,-42,-68,-61,,,,Thurrock
United Kingdom,Bath and North East Somerset,43955,79,-84,-36,2,-67,-72,27,,,Tyne and Wear
United Kingdom,Bath and North East Somerset,43956,80,-84,-34,-9,-67,-72,27,,,Warrington
United Kingdom,Bath and North East Somerset,43957,81,-84,-33,13,-67,-71,28,,,Warwickshire
United Kingdom,Bath and North East Somerset,43958,82,-83,-23,13,-63,-71,27,,,West Berkshire
United Kingdom,Bath and North East Somerset,43959,83,-88,-38,6,-70,-83,,,,West Midlands
United Kingdom,Bath and North East Somerset,43960,84,-89,-37,-26,-62,-58,,,,West Sussex
United Kingdom,Bath and North East Somerset,43961,85,-91,-42,-44,-68,-61,,,,West Yorkshire
United Kingdom,Bath and North East Somerset,43962,86,-84,-36,-16,-68,-71,27,,,Wiltshire
United Kingdom,Bath and North East Somerset,43963,87,-81,-31,15,-63,-70,26,,,Windsor and Maidenhead
United Kingdom,Bath and North East Somerset,43964,88,-83,-33,1,-66,-70,27,,,Wokingham
United Kingdom,Bath and North East Somerset,43965,89,-80,-29,33,-63,-69,25,,,Worcestershire
United Kingdom,Bath and North East Somerset,43966,90,-83,-32,13,-61,-69,27,,,York
United Kingdom,Bath and North East Somerset,43967,91,-86,-33,-14,-57,-54,,,,
United Kingdom,Bath and North East Somerset,43968,92,-84,-35,26,-47,-54,,,,
United Kingdom,Bath and North East Somerset,43969,93,-78,-32,36,-59,-68,24,,,
United Kingdom,Bath and North East Somerset,43970,94,-78,-30,51,-58,-68,24,,,
United Kingdom,Bath and North East Somerset,43971,95,-78,-25,79,-57,-68,25,,,
United Kingdom,Bath and North East Somerset,43972,96,-77,-24,61,-56,-68,25,,,
United Kingdom,Bath and North East Somerset,43973,97,-81,-29,15,-58,-67,26,,,
United Kingdom,Bath and North East Somerset,43974,98,-85,-30,-21,-58,-50,,,,
United Kingdom,Bath and North East Somerset,43975,99,-80,-26,59,-36,-52,,,,
United Kingdom,Bath and North East Somerset,43976,100,-75,-29,,-54,-84,,,,
United Kingdom,Bath and North East Somerset,43977,101,-74,-22,86,-54,-68,23,,,
United Kingdom,Bath and North East Somerset,43978,102,-76,-23,76,-54,-67,24,,,
United Kingdom,Bath and North East Somerset,43979,103,-74,-21,84,-52,-67,24,,,
United Kingdom,Bath and North East Somerset,43980,104,-77,-21,74,-52,-66,24,,,
United Kingdom,Bath and North East Somerset,43981,105,-82,-24,24,-46,-40,,,,
United Kingdom,Bath and North East Somerset,43982,106,-80,-24,60,-37,-44,,,,
United Kingdom,Bath and North East Somerset,43983,107,-73,-22,66,-50,-63,21,,,
United Kingdom,Bath and North East Somerset,43984,108,-72,-22,88,-49,-62,21,,,
United Kingdom,Bath and North East Somerset,43985,109,-78,-30,-9,-61,-64,25,,,
United Kingdom,Bath and North East Somerset,43986,110,-75,-22,26,-56,-62,24,,,
United Kingdom,Bath and North East Somerset,43987,111,-77,-24,26,-58,-62,24,,,
United Kingdom,Bath and North East Somerset,43988,112,-83,-29,-38,-62,-41,,,,
United Kingdom,Bath and North East Somerset,43989,113,-78,-26,42,-40,-39,,,,
United Kingdom,Bath and North East Somerset,43990,114,-71,-25,42,-54,-60,22,,,
United Kingdom,Bath and North East Somerset,43991,115,-72,-23,78,-51,-59,21,,,
United Kingdom,Bath and North East Somerset,43992,116,-76,-27,14,-60,-61,23,,,
United Kingdom,Bath and North East Somerset,43993,117,-75,-26,-9,-62,-61,24,,,
United Kingdom,Bath and North East Somerset,43994,118,-77,-28,-9,-62,-60,24,,,
United Kingdom,Bath and North East Somerset,43995,119,-78,-23,12,-52,-32,,,,
United Kingdom,Bath and North East Somerset,43996,120,-77,-28,34,-45,-36,,,,
United Kingdom,Bath and North East Somerset,43997,121,-61,-21,82,-51,-59,19,,,
United Kingdom,Bath and North East Somerset,43998,122,-63,-21,57,-52,-58,20,,,
United Kingdom,Bath and North East Somerset,43999,123,-67,-25,25,-56,-60,22,,,
United Kingdom,Bath and North East Somerset,44000,124,-75,-28,-36,-65,-62,24,,,
United Kingdom,Bath and North East Somerset,44001,125,-68,-18,21,-56,-58,22,,,
United Kingdom,Bath and North East Somerset,44002,126,-71,-18,20,-50,-28,,,,
United Kingdom,Bath and North East Somerset,44003,127,-69,-21,38,-40,-28,,,,
United Kingdom,Bath and North East Somerset,44004,128,-60,-19,95,-50,-59,19,,,
United Kingdom,Bath and North East Somerset,44005,129,-60,-16,119,-48,-59,18,,,
United Kingdom,Bath and North East Somerset,44006,130,-64,-15,102,-49,-58,19,,,
United Kingdom,Bath and North East Somerset,44007,131,-62,-9,115,-46,-57,19,,,
United Kingdom,Bath and North East Somerset,44008,132,-66,-15,77,-51,-57,19,,,
United Kingdom,Bath and North East Somerset,44009,133,-74,-23,-24,-55,-31,,,,
United Kingdom,Bath and North East Somerset,44010,134,-70,-26,18,-47,-32,,,,
United Kingdom,Bath and North East Somerset,44011,135,-62,-22,28,-54,-58,20,,,
United Kingdom,Bath and North East Somerset,44012,136,-60,-18,39,-52,-57,19,,,
United Kingdom,Bath and North East Somerset,44013,137,-62,-21,35,-53,-57,20,,,
United Kingdom,Bath and North East Somerset,44014,138,-62,-21,28,-52,-57,20,,,
United Kingdom,Bath and North East Somerset,44015,139,-65,-21,13,-52,-56,20,,,
United Kingdom,Bath and North East Somerset,44016,140,-63,-23,-22,-46,-24,,,,
United Kingdom,Bath and North East Somerset,44017,141,-56,-24,34,-34,-29,,,,
United Kingdom,Bath and North East Somerset,44018,142,-50,-19,61,-45,-58,16,,,
United Kingdom,Bath and North East Somerset,44019,143,-49,-19,68,-44,-56,17,,,
United Kingdom,Bath and North East Somerset,44020,144,-55,-21,7,-51,-56,19,,,
United Kingdom,Bath and North East Somerset,44021,145,-52,-16,23,-47,-55,18,,,
United Kingdom,Bath and North East Somerset,44022,146,-53,-16,64,-43,-54,15,,,
United Kingdom,Bath and North East Somerset,44023,147,-55,-17,40,-30,-18,5,,,
United Kingdom,Bath and North East Somerset,44024,148,-49,-19,80,-22,-22,,,,
United Kingdom,Bath and North East Somerset,44025,149,-46,-19,,-45,-56,16,,,
United Kingdom,Bath and North East Somerset,44026,150,-43,-17,62,-44,-55,16,,,
United Kingdom,Bath and North East Somerset,44027,151,-42,-20,60,-51,-53,17,,,
United Kingdom,Bath and North East Somerset,44028,152,-38,-15,82,-49,-53,16,,,
United Kingdom,Bath and North East Somerset,44029,153,-42,-17,74,-47,-51,14,,,
United Kingdom,Bath and North East Somerset,44030,154,-46,-20,31,-38,-17,5,,,
United Kingdom,Bath and North East Somerset,44031,155,-36,-23,67,-34,-20,,,,
United Kingdom,Bath and North East Somerset,44032,156,-33,-18,,-45,-57,14,,,
United Kingdom,Bath and North East Somerset,44033,157,-31,-19,,-45,-56,14,,,
United Kingdom,Bath and North East Somerset,44034,158,-36,-20,100,-49,-54,15,,,
United Kingdom,Bath and North East Somerset,44035,159,-34,-16,85,-47,-56,16,,,
United Kingdom,Bath and North East Somerset,44036,160,-39,-21,72,-45,-53,14,,,
United Kingdom,Bath and North East Somerset,44037,161,-51,-28,-26,-47,-21,,,,
United Kingdom,Bath and North East Somerset,44038,162,-36,-26,49,-32,-21,,,,
United Kingdom,Bath and North East Somerset,44039,163,-36,-24,19,-53,-59,16,,,
United Kingdom,Bath and North East Somerset,44040,164,-26,-18,109,-44,-56,14,,,
United Kingdom,Bath and North East Somerset,44041,165,-29,-19,113,-47,-56,15,,,
United Kingdom,Bath and North East Somerset,44042,166,-23,-12,150,-43,-55,13,,,
United Kingdom,Bath and North East Somerset,44043,167,-33,-17,99,-44,-55,12,,,
United Kingdom,Bath and North East Somerset,44044,168,-38,-20,39,-34,-17,3,,,
United Kingdom,Bath and North East Somerset,44045,169,-28,-19,76,-28,-20,,,,
United Kingdom,Bath and North East Somerset,44046,170,-16,-17,114,-45,-56,13,,,
United Kingdom,Bath and North East Somerset,44047,171,-13,-17,105,-43,-56,13,,,
United Kingdom,Bath and North East Somerset,44048,172,-16,-21,78,-48,-55,14,,,
United Kingdom,Bath and North East Somerset,44049,173,-23,-14,104,-45,-55,13,,,
United Kingdom,Bath and North East Somerset,44050,174,-31,-17,95,-43,-55,12,,,
United Kingdom,Bath and North East Somerset,44051,175,-37,-19,55,-34,-20,3,,,
United Kingdom,Bath and North East Somerset,44052,176,-24,-22,79,-27,-21,,,,
United Kingdom,Bath and North East Somerset,44053,177,-11,-18,123,-45,-57,12,,,
United Kingdom,Bath and North East Somerset,44054,178,-5,-15,,-41,-56,12,,,
United Kingdom,Bath and North East Somerset,44055,179,-12,-17,91,-46,-56,13,,,
United Kingdom,Bath and North East Somerset,44056,180,-25,-16,67,-46,-57,15,,,
United Kingdom,Bedford,43876,0,-11,-4,-50,-11,-2,2,,,
United Kingdom,Bedford,43877,1,-10,-6,-54,-32,-1,1,,,
United Kingdom,Bedford,43878,2,9,2,,-5,-18,3,,,
United Kingdom,Bedford,43879,3,9,-3,,-10,-16,3,,,
United Kingdom,Bedford,43880,4,6,1,-2,-9,-16,3,,,
United Kingdom,Bedford,43881,5,2,0,-17,-14,-18,3,,,
United Kingdom,Bedford,43882,6,3,2,9,-8,-19,3,,,
United Kingdom,Bedford,43883,7,-7,0,-3,-2,-3,0,,,
United Kingdom,Bedford,43884,8,-7,2,-20,-24,0,0,,,
United Kingdom,Bedford,43885,9,-5,1,,-5,-1,1,,,
United Kingdom,Bedford,43886,10,-4,4,,-4,-1,0,,,
United Kingdom,Bedford,43887,11,0,-1,-9,-5,0,1,,,
United Kingdom,Bedford,43888,12,-2,2,-15,-6,-2,1,,,
United Kingdom,Bedford,43889,13,-1,3,-24,-4,-3,1,,,
United Kingdom,Bedford,43890,14,2,2,-25,5,-3,0,,,
United Kingdom,Bedford,43891,15,3,4,0,8,0,0,,,
United Kingdom,Bedford,43892,16,1,5,,-4,-2,0,,,
United Kingdom,Bedford,43893,17,2,4,,-3,-1,1,,,
United Kingdom,Bedford,43894,18,3,4,-13,-4,0,1,,,
United Kingdom,Bedford,43895,19,-2,4,-23,-7,-1,1,,,
United Kingdom,Bedford,43896,20,1,6,,-1,-2,0,,,
United Kingdom,Bedford,43897,21,-2,2,6,-2,0,0,,,
United Kingdom,Bedford,43898,22,-1,6,-1,-12,0,0,,,
United Kingdom,Bedford,43899,23,-2,3,,-3,-1,1,,,
United Kingdom,Bedford,43900,24,-4,5,,-6,-1,1,,,
United Kingdom,Bedford,43901,25,-4,6,2,-7,-2,1,,,
United Kingdom,Bedford,43902,26,-3,13,-6,-12,-3,2,,,
United Kingdom,Bedford,43903,27,-6,16,,-11,-4,2,,,
United Kingdom,Bedford,43904,28,-10,9,-15,-21,-4,2,,,
United Kingdom,Bedford,43905,29,-17,5,-38,-30,-3,2,,,
United Kingdom,Bedford,43906,30,-6,25,,-15,-7,3,,,
United Kingdom,Bedford,43907,31,-12,25,,-27,-14,7,,,
United Kingdom,Bedford,43908,32,-19,31,-9,-33,-20,10,,,
United Kingdom,Bedford,43909,33,-20,32,-6,-38,-25,11,,,
United Kingdom,Bedford,43910,34,-28,15,2,-36,-26,12,,,
United Kingdom,Bedford,43911,35,-44,2,-1,-45,-21,10,,,
United Kingdom,Bedford,43912,36,-55,-14,18,-44,-24,,,,
United Kingdom,Bedford,43913,37,-40,-6,,-49,-42,17,,,
United Kingdom,Bedford,43914,38,-73,-21,,-63,-53,24,,,
United Kingdom,Bedford,43915,39,-76,-23,,-65,-59,26,,,
United Kingdom,Bedford,43916,40,-75,-24,-4,-66,-61,27,,,
United Kingdom,Bedford,43917,41,-78,-25,-17,-64,-62,28,,,
United Kingdom,Bedford,43918,42,-85,-40,-54,-72,-51,,,,
United Kingdom,Bedford,43919,43,-86,-47,-51,-72,-49,,,,
United Kingdom,Bedford,43920,44,-78,-30,-25,-70,-65,27,,,
United Kingdom,Bedford,43921,45,-76,-29,,-70,-66,28,,,
United Kingdom,Bedford,43922,46,-78,-31,-20,-70,-67,29,,,
United Kingdom,Bedford,43923,47,-77,-29,-9,-72,-66,29,,,
United Kingdom,Bedford,43924,48,-78,-28,-9,-68,-66,29,,,
United Kingdom,Bedford,43925,49,-83,-38,-26,-66,-51,,,,
United Kingdom,Bedford,43926,50,-83,-42,-21,-67,-47,,,,
United Kingdom,Bedford,43927,51,-75,-29,,-67,-67,27,,,
United Kingdom,Bedford,43928,52,-75,-29,,-67,-67,28,,,
United Kingdom,Bedford,43929,53,-74,-23,,-65,-66,28,,,
United Kingdom,Bedford,43930,54,-73,-14,2,-62,-67,28,,,
United Kingdom,Bedford,43931,55,-79,-31,7,-70,-80,33,,,
United Kingdom,Bedford,43932,56,-82,-34,-26,-63,-56,,,,
United Kingdom,Bedford,43933,57,-90,-69,-24,-65,-54,,,,
United Kingdom,Bedford,43934,58,-81,-43,-22,-78,-83,33,,,
United Kingdom,Bedford,43935,59,-73,-27,,-67,-67,28,,,
United Kingdom,Bedford,43936,60,-74,-27,,-64,-66,28,,,
United Kingdom,Bedford,43937,61,-73,-25,,-65,-66,28,,,
United Kingdom,Bedford,43938,62,-77,-28,-2,-66,-65,29,,,
United Kingdom,Bedford,43939,63,-83,-39,-47,-66,-51,,,,
United Kingdom,Bedford,43940,64,-82,-40,-4,-58,-42,,,,
United Kingdom,Bedford,43941,65,-73,-30,,-64,-65,27,,,
United Kingdom,Bedford,43942,66,-73,-28,,-62,-64,27,,,
United Kingdom,Bedford,43943,67,-73,-26,18,-62,-64,27,,,
United Kingdom,Bedford,43944,68,-73,-24,21,-61,-64,27,,,
United Kingdom,Bedford,43945,69,-74,-22,18,-59,-63,27,,,
United Kingdom,Bedford,43946,70,-80,-32,-14,-58,-47,,,,
United Kingdom,Bedford,43947,71,-80,-37,5,-56,-41,,,,
United Kingdom,Bedford,43948,72,-70,-27,,-61,-62,26,,,
United Kingdom,Bedford,43949,73,-77,-34,-49,-69,-63,26,,,
United Kingdom,Bedford,43950,74,-73,-26,-18,-65,-63,28,,,
United Kingdom,Bedford,43951,75,-77,-27,-30,-65,-63,28,,,
United Kingdom,Bedford,43952,76,-75,-24,-1,-60,-61,27,,,
United Kingdom,Bedford,43953,77,-78,-30,-8,-54,-44,,,,
United Kingdom,Bedford,43954,78,-80,-38,-24,-58,-41,,,,
United Kingdom,Bedford,43955,79,-70,-26,,-57,-61,25,,,
United Kingdom,Bedford,43956,80,-68,-24,,-57,-61,25,,,
United Kingdom,Bedford,43957,81,-67,-19,,-54,-60,26,,,
United Kingdom,Bedford,43958,82,-65,-11,42,-54,-61,25,,,
United Kingdom,Bedford,43959,83,-74,-25,,-59,-77,31,,,
United Kingdom,Bedford,43960,84,-78,-28,9,-52,-44,,,,
United Kingdom,Bedford,43961,85,-83,-40,-54,-65,-39,,,,
United Kingdom,Bedford,43962,86,-68,-23,5,-59,-59,25,,,
United Kingdom,Bedford,43963,87,-67,-21,,-59,-58,25,,,
United Kingdom,Bedford,43964,88,-67,-21,,-57,-58,25,,,
United Kingdom,Bedford,43965,89,-67,-19,,-51,-57,23,,,
United Kingdom,Bedford,43966,90,-67,-18,,-49,-57,24,,,
United Kingdom,Bedford,43967,91,-73,-24,27,-47,-37,15,,,
United Kingdom,Bedford,43968,92,-71,-26,58,-42,-30,,,,
United Kingdom,Bedford,43969,93,-58,-16,,-47,-56,22,,,
United Kingdom,Bedford,43970,94,-60,-16,,-52,-56,23,,,
United Kingdom,Bedford,43971,95,-62,-11,,-49,-56,23,,,
United Kingdom,Bedford,43972,96,-61,-12,,-49,-57,23,,,
United Kingdom,Bedford,43973,97,-63,-14,,-53,-55,23,,,
United Kingdom,Bedford,43974,98,-70,-21,-1,-54,-35,15,,,
United Kingdom,Bedford,43975,99,-67,-23,48,-43,-30,,,,
United Kingdom,Bedford,43976,100,-61,-20,,-53,-78,26,,,
United Kingdom,Bedford,43977,101,-57,-11,,-50,-56,22,,,
United Kingdom,Bedford,43978,102,-57,-11,,-47,-55,22,,,
United Kingdom,Bedford,43979,103,-56,-10,,-50,-55,22,,,
United Kingdom,Bedford,43980,104,-59,-8,,-45,-53,21,,,
United Kingdom,Bedford,43981,105,-67,-16,69,-41,-26,12,,,
United Kingdom,Bedford,43982,106,-67,-17,70,-39,-23,,,,
United Kingdom,Bedford,43983,107,-53,-11,,-42,-52,20,,,
United Kingdom,Bedford,43984,108,-56,-14,,-48,-51,20,,,
United Kingdom,Bedford,43985,109,-55,-15,22,-49,-51,22,,,
United Kingdom,Bedford,43986,110,-56,-14,33,-51,-52,22,,,
United Kingdom,Bedford,43987,111,-60,-14,32,-52,-51,22,,,
United Kingdom,Bedford,43988,112,-67,-21,-30,-56,-29,14,,,
United Kingdom,Bedford,43989,113,-67,-24,17,-48,-22,,,,
United Kingdom,Bedford,43990,114,-51,-15,,-49,-50,20,,,
United Kingdom,Bedford,43991,115,-53,-17,,-51,-49,20,,,
United Kingdom,Bedford,43992,116,-57,-16,-5,-57,-50,22,,,
United Kingdom,Bedford,43993,117,-56,-16,9,-56,-50,22,,,
United Kingdom,Bedford,43994,118,-56,-13,,-50,-49,21,,,
United Kingdom,Bedford,43995,119,-62,-14,78,-44,-16,10,,,
United Kingdom,Bedford,43996,120,-60,-17,74,-43,-13,,,,
United Kingdom,Bedford,43997,121,-37,-11,,-45,-48,18,,,
United Kingdom,Bedford,43998,122,-45,-14,,-52,-49,19,,,
United Kingdom,Bedford,43999,123,-48,-11,13,-54,-49,20,,,
United Kingdom,Bedford,44000,124,-46,-12,23,-54,-50,20,,,
United Kingdom,Bedford,44001,125,-46,-7,,-51,-48,19,,,
United Kingdom,Bedford,44002,126,-52,-10,59,-42,-13,8,,,
United Kingdom,Bedford,44003,127,-52,-17,47,-34,-6,7,,,
United Kingdom,Bedford,44004,128,-37,-11,,-41,-49,17,,,
United Kingdom,Bedford,44005,129,-42,-9,,-48,-49,17,,,
United Kingdom,Bedford,44006,130,-43,-7,,-50,-47,18,,,
United Kingdom,Bedford,44007,131,-43,-3,,-48,-48,18,,,
United Kingdom,Bedford,44008,132,-44,-4,,-46,-47,18,,,
United Kingdom,Bedford,44009,133,-53,-16,-12,-51,-21,11,,,
United Kingdom,Bedford,44010,134,-50,-16,33,-47,-11,,,,
United Kingdom,Bedford,44011,135,-38,-14,,-50,-47,18,,,
United Kingdom,Bedford,44012,136,-40,-16,,-51,-47,18,,,
United Kingdom,Bedford,44013,137,-42,-14,,-51,-47,18,,,
United Kingdom,Bedford,44014,138,-41,-12,24,-51,-47,18,,,
United Kingdom,Bedford,44015,139,-44,-12,35,-46,-46,18,,,
United Kingdom,Bedford,44016,140,-48,-17,12,-42,-14,8,,,
United Kingdom,Bedford,44017,141,-46,-22,41,-40,-7,6,,,
United Kingdom,Bedford,44018,142,-33,-15,,-45,-47,16,,,
United Kingdom,Bedford,44019,143,-35,-18,,-48,-47,16,,,
United Kingdom,Bedford,44020,144,-39,-17,,-51,-46,17,,,
United Kingdom,Bedford,44021,145,-40,-16,4,-51,-46,17,,,
United Kingdom,Bedford,44022,146,-39,-13,,-40,-45,15,,,
United Kingdom,Bedford,44023,147,-45,-18,40,-37,-10,6,,,
United Kingdom,Bedford,44024,148,-43,-20,68,-37,-6,4,,,
United Kingdom,Bedford,44025,149,-32,-17,,-43,-46,15,,,
United Kingdom,Bedford,44026,150,-32,-17,,-46,-46,15,,,
United Kingdom,Bedford,44027,151,-32,-17,,-52,-45,16,,,
United Kingdom,Bedford,44028,152,-29,-13,,-49,-44,15,,,
United Kingdom,Bedford,44029,153,-30,-14,,-45,-43,13,,,
United Kingdom,Bedford,44030,154,-41,-20,36,-37,-12,5,,,
United Kingdom,Bedford,44031,155,-36,-20,36,-46,-7,4,,,
United Kingdom,Bedford,44032,156,-23,-14,,-44,-48,13,,,
United Kingdom,Bedford,44033,157,-26,-17,,-50,-48,15,,,
United Kingdom,Bedford,44034,158,-27,-14,,-50,-46,15,,,
United Kingdom,Bedford,44035,159,-29,-15,,-51,-46,15,,,
United Kingdom,Bedford,44036,160,-31,-15,,-44,-45,13,,,
United Kingdom,Bedford,44037,161,-40,-23,-18,-42,-12,7,,,
United Kingdom,Bedford,44038,162,-35,-23,35,-43,-5,3,,,
